16:14	0.0237
48:14	0.0237
18:14	0.0277
81:14	0.0415
83:14	0.0395
25:14	0.0217
58:14	0.0593
27:14	0.0217
57:14	0.0237
28:14	0.0711
30:14	0.0968
3:15	0.01
71:15	0.0086
5:15	0.0086
8:15	0.0164
76:15	0.0179
77:15	0.035
10:15	0.0079
78:15	0.0193
79:15	0.0122
12:15	0.0086
73:15	0.0114
15:15	0.2073
17:15	0.0122
16:15	0.0114
84:15	0.01
19:15	0.0086
18:15	0.0293
81:15	0.01
23:15	0.0086
83:15	0.0379
24:15	0.0129
92:15	0.0079
95:15	0.0079
27:15	0.0086
26:15	0.0114
94:15	0.0107
89:15	0.01
29:15	0.0086
28:15	0.0465
31:15	0.0136
90:15	0.015
30:15	0.1022
35:15	0.0107
33:15	0.0107
36:15	0.0093
97:15	0.0164
46:15	0.0229
47:15	0.0214
44:15	0.0229
45:15	0.01
50:15	0.0093
49:15	0.0107
48:15	0.0179
55:15	0.0164
58:15	0.0386
57:15	0.015
62:15	0.0093
61:15	0.0122
1:16	0.0038
3:16	0.0042
5:16	0.0029
6:16	0.0022
7:16	0.0015
8:16	0.0178
9:16	0.002
10:16	0.0012
12:16	0.0041
14:16	8.0E-4
15:16	0.0011
17:16	0.0139
16:16	0.1889
19:16	0.0023
18:16	0.0326
21:16	0.0013
23:16	0.0026
25:16	0.0031
24:16	0.0152
27:16	0.0013
26:16	0.0122
29:16	0.0023
28:16	0.0705
31:16	0.0015
30:16	0.087
35:16	0.0051
32:16	0.0052
33:16	0.0202
38:16	0.0014
39:16	0.0015
36:16	0.0031
37:16	0.0019
42:16	8.0E-4
43:16	0.0013
40:16	8.0E-4
41:16	0.002
46:16	0.0195
47:16	0.008
44:16	0.0236
45:16	0.0073
50:16	0.0024
49:16	0.001
48:16	0.019
55:16	0.0221
54:16	8.0E-4
53:16	0.0011
52:16	0.006
59:16	8.0E-4
58:16	0.0961
57:16	0.0148
56:16	0.0018
63:16	0.0015
62:16	0.0011
61:16	9.0E-4
60:16	0.0013
68:16	0.008
69:16	8.0E-4
70:16	0.0013
71:16	0.0024
64:16	9.0E-4
65:16	8.0E-4
66:16	0.0021
67:16	0.0044
76:16	0.01
77:16	0.0777
78:16	0.0258
79:16	0.0104
72:16	0.001
73:16	0.0051
74:16	0.0017
75:16	0.001
85:16	0.0016
84:16	0.0098
87:16	8.0E-4
86:16	0.0013
81:16	0.0034
80:16	0.0022
83:16	0.0404
82:16	0.0013
93:16	0.0011
92:16	0.0013
95:16	0.0023
94:16	0.0014
89:16	0.0064
88:16	0.0071
91:16	0.002
90:16	0.004
100:16	0.0012
99:16	8.0E-4
96:16	0.002
97:16	0.0072
1:17	0.0019
2:17	8.0E-4
3:17	0.002
4:17	6.0E-4
5:17	0.0038
6:17	0.0011
7:17	7.0E-4
8:17	0.0181
9:17	6.0E-4
10:17	6.0E-4
12:17	0.0012
14:17	6.0E-4
15:17	9.0E-4
17:17	0.376
16:17	0.0105
19:17	0.0024
18:17	0.0099
21:17	0.0013
20:17	6.0E-4
23:17	0.0021
22:17	0.0013
25:17	0.0019
24:17	0.0047
27:17	0.0012
26:17	0.0462
29:17	0.0032
28:17	0.0625
31:17	8.0E-4
30:17	0.1725
35:17	0.0034
32:17	0.0088
33:17	0.0048
38:17	0.001
39:17	8.0E-4
36:17	0.0021
37:17	0.0011
43:17	6.0E-4
40:17	0.0039
41:17	0.001
46:17	0.0071
47:17	0.0045
44:17	0.0118
45:17	0.0047
50:17	0.0013
49:17	6.0E-4
48:17	0.0072
55:17	0.0083
53:17	0.0016
52:17	0.0036
59:17	0.0012
58:17	0.0489
57:17	0.0032
56:17	0.0025
63:17	0.0011
61:17	7.0E-4
60:17	6.0E-4
68:17	0.0027
69:17	8.0E-4
70:17	7.0E-4
71:17	0.0014
64:17	0.0011
65:17	8.0E-4
66:17	8.0E-4
67:17	0.0016
76:17	0.0071
77:17	0.0386
78:17	0.01
79:17	0.0034
73:17	0.0032
74:17	0.0013
85:17	6.0E-4
84:17	0.0041
86:17	0.0012
81:17	0.002
80:17	8.0E-4
83:17	0.0251
82:17	0.001
93:17	7.0E-4
92:17	0.001
95:17	8.0E-4
94:17	0.0012
89:17	0.0066
88:17	0.0016
91:17	0.0033
90:17	0.002
100:17	7.0E-4
96:17	0.001
97:17	0.0065
1:18	0.002
2:18	3.0E-4
3:18	0.0083
4:18	4.0E-4
5:18	0.0016
6:18	0.0035
7:18	4.0E-4
8:18	0.0295
9:18	5.0E-4
10:18	9.0E-4
11:18	5.0E-4
12:18	0.003
13:18	3.0E-4
14:18	3.0E-4
15:18	0.001
17:18	0.0044
16:18	0.011
19:18	0.0016
18:18	0.2522
21:18	0.0011
20:18	3.0E-4
23:18	0.0015
22:18	4.0E-4
25:18	0.0041
24:18	0.0052
27:18	8.0E-4
26:18	0.006
29:18	0.0024
28:18	0.0659
31:18	8.0E-4
30:18	0.1384
35:18	0.002
32:18	0.0046
